id, width, height, length, x[0], x[1], x[2], yaw
0,1.9187810546473452,1.6959214210510254,4.109889582583779,[48.8408691],[8.83438311],[0.78728318],3.0256480758728888
0,1.9198125914523474,1.6970789909362793,4.1341610017575725,[[45.43594674]],[[8.80668643]],[[0.72558395]],3.1368460128800506
0,1.9144343263224548,1.6857666444778445,4.169986144492501,[[42.04861566]],[[8.80050857]],[[0.61467832]],3.136014687540725
0,1.8990301753345287,1.6666485671997073,4.178220837680918,[[38.55066855]],[[8.79600575]],[[0.53485606]],3.126432181551662
0,1.8963244163990018,1.6551932279586796,4.190316108245599,[[35.02517981]],[[8.79778516]],[[0.53904649]],3.135494013280768
0,1.8918310786987602,1.6414692805099491,4.210375759485522,[[31.54347402]],[[8.79835913]],[[0.574642]],3.1351795930217254
0,1.8808192792459535,1.6240335112113957,4.221141271976108,[[28.01561379]],[[8.79807045]],[[0.59152157]],3.139492476136671
0,1.8727338167031813,1.614556223627854,4.247422911488477,[[24.52310385]],[[8.80020758]],[[0.65517703]],3.129444282690175
0,1.865980919354859,1.599155751297112,4.256125283437614,[[21.04925435]],[[8.80103268]],[[0.67230831]],3.140994633624148
0,1.859448961219679,1.583724123921307,4.271080612434615,[[17.58531148]],[[8.80124771]],[[0.65767956]],3.135572708949973
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[14.11449932]],[[8.79555665]],[[0.64101965]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[10.64149684]],[[8.79293939]],[[0.63556657]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[7.16849437]],[[8.79032213]],[[0.6301135]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[3.69549189]],[[8.78770486]],[[0.62466042]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[0.22248942]],[[8.7850876]],[[0.61920734]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-3.25051306]],[[8.78247034]],[[0.61375426]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-6.72351553]],[[8.77985308]],[[0.60830118]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-10.19651801]],[[8.77723582]],[[0.6028481]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-13.66952048]],[[8.77461856]],[[0.59739502]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-17.14252296]],[[8.7720013]],[[0.59194194]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-20.61552543]],[[8.76938404]],[[0.58648886]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-24.08852791]],[[8.76676677]],[[0.58103578]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-27.56153038]],[[8.76414951]],[[0.5755827]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-31.03453285]],[[8.76153225]],[[0.57012962]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-34.50753533]],[[8.75891499]],[[0.56467655]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-37.9805378]],[[8.75629773]],[[0.55922347]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-41.45354028]],[[8.75368047]],[[0.55377039]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-44.92654275]],[[8.75106321]],[[0.54831731]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-48.39954523]],[[8.74844595]],[[0.54286423]],3.1278121092061126
0,1.852209907969126,1.5666373455700089,4.2949963494310115,[[-51.8725477]],[[8.74582869]],[[0.53741115]],3.1278121092061126
